[2026-03-03T20:36:24.805024+00:00] [XRP] WARNING: Kraken Spot = $1.3609 | Coinbase Spot = $1.3583 | Diff = 0.1903%
[2026-03-03T20:51:20.516227+00:00] [XRP] WARNING: Kraken Spot = $1.3568 | Coinbase Spot = $1.3591 | Diff = 0.1644%
[2026-03-03T20:51:22.246460+00:00] [XRP] WARNING: Kraken Spot = $1.3568 | Coinbase Spot = $1.3592 | Diff = 0.1717%
[2026-03-03T20:51:23.690529+00:00] [XRP] WARNING: Kraken Spot = $1.3568 | Coinbase Spot = $1.3592 | Diff = 0.1717%
[2026-03-03T20:51:25.455134+00:00] [XRP] WARNING: Kraken Spot = $1.3566 | Coinbase Spot = $1.3592 | Diff = 0.1843%
[2026-03-03T20:51:29.019834+00:00] [XRP] WARNING: Kraken Spot = $1.3566 | Coinbase Spot = $1.3587 | Diff = 0.1511%
[2026-03-03T20:51:30.592015+00:00] [ETH] WARNING: Kraken Spot = $1976.2700 | Coinbase Spot = $1980.7950 | Diff = 0.2290%
[2026-03-03T20:51:32.235697+00:00] [ETH] WARNING: Kraken Spot = $1976.2700 | Coinbase Spot = $1979.7350 | Diff = 0.1753%
[2026-03-03T20:51:32.744804+00:00] [XRP] WARNING: Kraken Spot = $1.3560 | Coinbase Spot = $1.3587 | Diff = 0.1991%
[2026-03-03T20:51:33.979187+00:00] [ETH] WARNING: Kraken Spot = $1975.0000 | Coinbase Spot = $1979.7350 | Diff = 0.2397%
[2026-03-03T20:51:35.537611+00:00] [ETH] WARNING: Kraken Spot = $1975.0000 | Coinbase Spot = $1979.7350 | Diff = 0.2397%
[2026-03-03T20:51:37.498567+00:00] [ETH] WARNING: Kraken Spot = $1974.2700 | Coinbase Spot = $1979.7350 | Diff = 0.2768%
[2026-03-03T20:51:39.105778+00:00] [ETH] WARNING: Kraken Spot = $1974.2700 | Coinbase Spot = $1979.7350 | Diff = 0.2768%
[2026-03-03T20:51:40.819999+00:00] [ETH] WARNING: Kraken Spot = $1974.7400 | Coinbase Spot = $1979.7350 | Diff = 0.2529%
[2026-03-03T20:51:54.535114+00:00] [ETH] WARNING: Kraken Spot = $1973.1300 | Coinbase Spot = $1977.1350 | Diff = 0.2030%
[2026-03-03T20:51:55.875493+00:00] [ETH] WARNING: Kraken Spot = $1973.1300 | Coinbase Spot = $1977.1350 | Diff = 0.2030%
[2026-03-03T20:54:22.229714+00:00] [ETH] WARNING: Kraken Spot = $1975.8000 | Coinbase Spot = $1972.4350 | Diff = 0.1703%
