id,window_id,asset,placed,seconds_to_close,bid,distance,reason,pre_data,timestamp
1,fifteen_min_KXXRP15M-26MAR081830,xrp,0,85.0,11,0.000699999999999923,low_distance,"{""quote"": {""yes_bid"": 88, ""yes_ask"": 89, ""no_bid"": 11, ""no_ask"": 12}, ""spot_kraken"": 1.33508, ""spot_coinbase"": 1.3345, ""distance_kraken"": 0.0012799999999999478, ""distance_coinbase"": 0.0006999999999999229}",1773008916.09016
2,fifteen_min_KXBTC15M-26MAR081830,btc,1,83.0,98,126.300000000003,intent_fired,"{""quote"": {""yes_bid"": 1, ""yes_ask"": 2, ""no_bid"": 98, ""no_ask"": 99}, ""spot_kraken"": 65885.0, ""spot_coinbase"": 65833.035, ""distance_kraken"": 126.30000000000291, ""distance_coinbase"": 178.26499999999942}",1773008918.11105
3,fifteen_min_KXETH15M-26MAR081830,eth,0,82.0,77,2.09999999999991,low_distance,"{""quote"": {""yes_bid"": 22, ""yes_ask"": 23, ""no_bid"": 77, ""no_ask"": 78}, ""spot_kraken"": 1928.41, ""spot_coinbase"": 1926.715, ""distance_kraken"": 2.099999999999909, ""distance_coinbase"": 3.7950000000000728}",1773008919.1874
4,fifteen_min_KXSOL15M-26MAR081830,sol,0,81.0,36,0.0238000000000085,low_distance,"{""quote"": {""yes_bid"": 55, ""yes_ask"": 64, ""no_bid"": 36, ""no_ask"": 45}, ""spot_kraken"": 81.23, ""spot_coinbase"": 81.15, ""distance_kraken"": 0.02380000000000848, ""distance_coinbase"": 0.056199999999989814}",1773008920.37278
5,fifteen_min_KXXRP15M-26MAR081830,xrp,0,80.0,7,0.00127999999999995,low_distance,"{""quote"": {""yes_bid"": 92, ""yes_ask"": 93, ""no_bid"": 7, ""no_ask"": 8}, ""spot_kraken"": 1.33508, ""spot_coinbase"": 1.33535, ""distance_kraken"": 0.0012799999999999478, ""distance_coinbase"": 0.0015499999999999403}",1773008921.58742
6,fifteen_min_KXBTC15M-26MAR081830,btc,0,78.0,96,99.3000000000029,low_bid,"{""quote"": {""yes_bid"": 3, ""yes_ask"": 4, ""no_bid"": 96, ""no_ask"": 97}, ""spot_kraken"": 65912.0, ""spot_coinbase"": 65833.035, ""distance_kraken"": 99.30000000000291, ""distance_coinbase"": 178.26499999999942}",1773008923.43297
7,fifteen_min_KXETH15M-26MAR081830,eth,0,77.0,68,0.879999999999882,low_distance,"{""quote"": {""yes_bid"": 29, ""yes_ask"": 32, ""no_bid"": 68, ""no_ask"": 71}, ""spot_kraken"": 1929.63, ""spot_coinbase"": 1926.715, ""distance_kraken"": 0.8799999999998818, ""distance_coinbase"": 3.7950000000000728}",1773008924.69275
8,fifteen_min_KXSOL15M-26MAR081830,sol,0,76.0,37,0.0238000000000085,low_distance,"{""quote"": {""yes_bid"": 61, ""yes_ask"": 63, ""no_bid"": 37, ""no_ask"": 39}, ""spot_kraken"": 81.23, ""spot_coinbase"": 81.165, ""distance_kraken"": 0.02380000000000848, ""distance_coinbase"": 0.041199999999989245}",1773008925.70777
9,fifteen_min_KXXRP15M-26MAR081830,xrp,0,75.0,1,0.00127999999999995,low_distance,"{""quote"": {""yes_bid"": 97, ""yes_ask"": 99, ""no_bid"": 1, ""no_ask"": 3}, ""spot_kraken"": 1.33508, ""spot_coinbase"": 1.33535, ""distance_kraken"": 0.0012799999999999478, ""distance_coinbase"": 0.0015499999999999403}",1773008926.57922
10,fifteen_min_KXBTC15M-26MAR081830,btc,0,73.0,96,91.8000000000029,low_bid,"{""quote"": {""yes_bid"": 3, ""yes_ask"": 4, ""no_bid"": 96, ""no_ask"": 97}, ""spot_kraken"": 65919.5, ""spot_coinbase"": 65878.975, ""distance_kraken"": 91.80000000000291, ""distance_coinbase"": 132.3249999999971}",1773008928.45604
11,fifteen_min_KXETH15M-26MAR081830,eth,0,72.0,72,0.879999999999882,low_distance,"{""quote"": {""yes_bid"": 27, ""yes_ask"": 28, ""no_bid"": 72, ""no_ask"": 73}, ""spot_kraken"": 1929.63, ""spot_coinbase"": 1928.065, ""distance_kraken"": 0.8799999999998818, ""distance_coinbase"": 2.4449999999999363}",1773008929.50386
12,fifteen_min_KXSOL15M-26MAR081830,sol,0,71.0,30,0.0538000000000096,low_distance,"{""quote"": {""yes_bid"": 66, ""yes_ask"": 70, ""no_bid"": 30, ""no_ask"": 34}, ""spot_kraken"": 81.26, ""spot_coinbase"": 81.135, ""distance_kraken"": 0.05380000000000962, ""distance_coinbase"": 0.07119999999999038}",1773008930.44689
13,fifteen_min_KXXRP15M-26MAR081830,xrp,0,70.0,1,0.00127999999999995,low_distance,"{""quote"": {""yes_bid"": 98, ""yes_ask"": 99, ""no_bid"": 1, ""no_ask"": 2}, ""spot_kraken"": 1.33508, ""spot_coinbase"": 1.3362, ""distance_kraken"": 0.0012799999999999478, ""distance_coinbase"": 0.0023999999999999577}",1773008931.72841
14,fifteen_min_KXBTC15M-26MAR081830,btc,0,68.0,80,31.8000000000029,low_distance,"{""quote"": {""yes_bid"": 19, ""yes_ask"": 20, ""no_bid"": 80, ""no_ask"": 81}, ""spot_kraken"": 65979.5, ""spot_coinbase"": 65878.975, ""distance_kraken"": 31.80000000000291, ""distance_coinbase"": 132.3249999999971}",1773008933.64691
15,fifteen_min_KXETH15M-26MAR081830,eth,0,67.0,9,0.920000000000073,low_distance,"{""quote"": {""yes_bid"": 90, ""yes_ask"": 91, ""no_bid"": 9, ""no_ask"": 10}, ""spot_kraken"": 1931.43, ""spot_coinbase"": 1926.715, ""distance_kraken"": 0.9200000000000728, ""distance_coinbase"": 3.7950000000000728}",1773008934.89715
16,fifteen_min_KXSOL15M-26MAR081830,sol,0,66.0,3,0.0138000000000034,low_distance,"{""quote"": {""yes_bid"": 93, ""yes_ask"": 97, ""no_bid"": 3, ""no_ask"": 7}, ""spot_kraken"": 81.39, ""spot_coinbase"": 81.22, ""distance_kraken"": 0.18380000000000507, ""distance_coinbase"": 0.013800000000003365}",1773008936.01188
17,fifteen_min_KXXRP15M-26MAR081830,xrp,0,64.0,0,0.000599999999999934,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34063, ""spot_coinbase"": 1.3344, ""distance_kraken"": 0.006829999999999892, ""distance_coinbase"": 0.0005999999999999339}",1773008937.06394
18,fifteen_min_KXBTC15M-26MAR081830,btc,0,62.0,70,6.19999999999709,low_distance,"{""quote"": {""yes_bid"": 29, ""yes_ask"": 30, ""no_bid"": 70, ""no_ask"": 71}, ""spot_kraken"": 66017.5, ""spot_coinbase"": 65900.005, ""distance_kraken"": 6.19999999999709, ""distance_coinbase"": 111.29499999999825}",1773008939.09291
19,fifteen_min_KXETH15M-26MAR081830,eth,0,61.0,10,1.97000000000003,low_distance,"{""quote"": {""yes_bid"": 88, ""yes_ask"": 90, ""no_bid"": 10, ""no_ask"": 12}, ""spot_kraken"": 1932.48, ""spot_coinbase"": 1928.065, ""distance_kraken"": 1.9700000000000273, ""distance_coinbase"": 2.4449999999999363}",1773008939.9757
20,fifteen_min_KXSOL15M-26MAR081830,sol,0,61.0,2,0.0138000000000034,low_distance,"{""quote"": {""yes_bid"": 97, ""yes_ask"": 98, ""no_bid"": 2, ""no_ask"": 3}, ""spot_kraken"": 81.45, ""spot_coinbase"": 81.22, ""distance_kraken"": 0.24380000000000734, ""distance_coinbase"": 0.013800000000003365}",1773008940.89503
21,fifteen_min_KXXRP15M-26MAR081830,xrp,0,60.0,0,0.00239999999999996,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34063, ""spot_coinbase"": 1.3362, ""distance_kraken"": 0.006829999999999892, ""distance_coinbase"": 0.0023999999999999577}",1773008941.92213
22,fifteen_min_KXBTC15M-26MAR081830,btc,0,58.0,63,9.19999999999709,low_distance,"{""quote"": {""yes_bid"": 30, ""yes_ask"": 37, ""no_bid"": 63, ""no_ask"": 70}, ""spot_kraken"": 66002.1, ""spot_coinbase"": 65900.005, ""distance_kraken"": 9.19999999999709, ""distance_coinbase"": 111.29499999999825}",1773008943.66018
23,fifteen_min_KXETH15M-26MAR081830,eth,0,57.0,2,0.605000000000018,low_distance,"{""quote"": {""yes_bid"": 92, ""yes_ask"": 98, ""no_bid"": 2, ""no_ask"": 8}, ""spot_kraken"": 1933.3, ""spot_coinbase"": 1929.905, ""distance_kraken"": 2.7899999999999636, ""distance_coinbase"": 0.6050000000000182}",1773008944.67734
24,fifteen_min_KXSOL15M-26MAR081830,sol,0,56.0,0,0.0488,low_distance,"{""quote"": {""yes_bid"": 97, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 3}, ""spot_kraken"": 81.45, ""spot_coinbase"": 81.255, ""distance_kraken"": 0.24380000000000734, ""distance_coinbase"": 0.048799999999999955}",1773008945.64726
25,fifteen_min_KXXRP15M-26MAR081830,xrp,0,55.0,0,0.00154999999999994,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34208, ""spot_coinbase"": 1.33535, ""distance_kraken"": 0.008279999999999843, ""distance_coinbase"": 0.0015499999999999403}",1773008946.91848
26,fifteen_min_KXBTC15M-26MAR081830,btc,0,53.0,45,0.0,low_distance,"{""quote"": {""yes_bid"": 50, ""yes_ask"": 55, ""no_bid"": 45, ""no_ask"": 50}, ""spot_kraken"": 66011.3, ""spot_coinbase"": 65927.77, ""distance_kraken"": 0.0, ""distance_coinbase"": 83.52999999999884}",1773008948.83905
27,fifteen_min_KXETH15M-26MAR081830,eth,0,52.0,1,0.605000000000018,low_distance,"{""quote"": {""yes_bid"": 98, ""yes_ask"": 99, ""no_bid"": 1, ""no_ask"": 2}, ""spot_kraken"": 1933.3, ""spot_coinbase"": 1929.905, ""distance_kraken"": 2.7899999999999636, ""distance_coinbase"": 0.6050000000000182}",1773008949.84505
28,fifteen_min_KXSOL15M-26MAR081830,sol,0,51.0,0,0.0488,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 81.47, ""spot_coinbase"": 81.255, ""distance_kraken"": 0.26380000000000337, ""distance_coinbase"": 0.048799999999999955}",1773008950.86123
29,fifteen_min_KXXRP15M-26MAR081830,xrp,0,50.0,0,0.0028999999999999,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34242, ""spot_coinbase"": 1.3367, ""distance_kraken"": 0.00861999999999985, ""distance_coinbase"": 0.0028999999999999027}",1773008951.90234
